m,TagName,
"2010-12-01 00:00:00","java","5668"
"2010-12-01 00:00:00","javascript","4955"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5375"
"2010-12-01 00:00:00","python","2473"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1022"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7978"
"2011-01-01 00:00:00","c++","3484"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6529"
"2011-01-01 00:00:00","javascript","5417"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","php","6403"
"2011-01-01 00:00:00","python","2897"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1634"
"2011-02-01 00:00:00","c#","8207"
"2011-02-01 00:00:00","c++","3435"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6854"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6687"
"2011-02-01 00:00:00","python","3008"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2108"
"2011-03-01 00:00:00","c#","9968"
"2011-03-01 00:00:00","c++","4169"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8451"
"2011-03-01 00:00:00","javascript","6759"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8074"
"2011-03-01 00:00:00","python","3741"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2033"
"2011-04-01 00:00:00","c#","9260"
"2011-04-01 00:00:00","c++","4160"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7884"
"2011-04-01 00:00:00","javascript","6873"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7623"
"2011-04-01 00:00:00","python","3330"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1821"
"2011-05-01 00:00:00","c#","9982"
"2011-05-01 00:00:00","c++","3871"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8533"
"2011-05-01 00:00:00","javascript","7297"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8063"
"2011-05-01 00:00:00","python","3511"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1564"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1761"
"2011-06-01 00:00:00","c#","9728"
"2011-06-01 00:00:00","c++","3803"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7873"
"2011-06-01 00:00:00","javascript","7670"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8004"
"2011-06-01 00:00:00","python","3462"
"2011-06-01 00:00:00","r","443"
"2011-06-01 00:00:00","ruby","1557"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","c#","9579"
"2011-07-01 00:00:00","c++","3849"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8137"
"2011-07-01 00:00:00","javascript","8091"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8646"
"2011-07-01 00:00:00","python","3651"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1580"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","10027"
"2011-08-01 00:00:00","c++","3951"
"2011-08-01 00:00:00","delphi","422"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8655"
"2011-08-01 00:00:00","javascript","8882"
"2011-08-01 00:00:00","perl","611"
"2011-08-01 00:00:00","php","8887"
"2011-08-01 00:00:00","python","3813"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1854"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1913"
"2011-09-01 00:00:00","c#","9275"
"2011-09-01 00:00:00","c++","3932"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8301"
"2011-09-01 00:00:00","javascript","8163"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8028"
"2011-09-01 00:00:00","python","3508"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1544"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9190"
"2011-10-01 00:00:00","c++","4336"
"2011-10-01 00:00:00","delphi","464"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8536"
"2011-10-01 00:00:00","javascript","8001"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","8025"
"2011-10-01 00:00:00","python","3611"
"2011-10-01 00:00:00","r","620"
"2011-10-01 00:00:00","ruby","1604"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2194"
"2011-11-01 00:00:00","c#","9870"
"2011-11-01 00:00:00","c++","4469"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9604"
"2011-11-01 00:00:00","javascript","8647"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8645"
"2011-11-01 00:00:00","python","3869"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1736"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2003"
"2011-12-01 00:00:00","c#","9290"
"2011-12-01 00:00:00","c++","4347"
"2011-12-01 00:00:00","delphi","571"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9159"
"2011-12-01 00:00:00","javascript","8307"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8300"
"2011-12-01 00:00:00","python","3614"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1677"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2227"
"2012-01-01 00:00:00","c#","10375"
"2012-01-01 00:00:00","c++","4533"
"2012-01-01 00:00:00","delphi","510"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10091"
"2012-01-01 00:00:00","javascript","9565"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9260"
"2012-01-01 00:00:00","python","4193"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1894"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","230"
"2012-02-01 00:00:00","c","2402"
"2012-02-01 00:00:00","c#","10711"
"2012-02-01 00:00:00","c++","5090"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10904"
"2012-02-01 00:00:00","javascript","9943"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9862"
"2012-02-01 00:00:00","python","4485"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2039"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2718"
"2012-03-01 00:00:00","c#","11532"
"2012-03-01 00:00:00","c++","5208"
"2012-03-01 00:00:00","delphi","495"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12314"
"2012-03-01 00:00:00","javascript","10642"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10803"
"2012-03-01 00:00:00","python","5020"
"2012-03-01 00:00:00","r","888"
"2012-03-01 00:00:00","ruby","2178"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2662"
"2012-04-01 00:00:00","c#","11063"
"2012-04-01 00:00:00","c++","5280"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11964"
"2012-04-01 00:00:00","javascript","10622"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10336"
"2012-04-01 00:00:00","python","4904"
"2012-04-01 00:00:00","r","838"
"2012-04-01 00:00:00","ruby","1961"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2474"
"2012-05-01 00:00:00","c#","11516"
"2012-05-01 00:00:00","c++","4968"
"2012-05-01 00:00:00","delphi","478"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12129"
"2012-05-01 00:00:00","javascript","11478"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10870"
"2012-05-01 00:00:00","python","5069"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1971"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2307"
"2012-06-01 00:00:00","c#","11300"
"2012-06-01 00:00:00","c++","4641"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11085"
"2012-06-01 00:00:00","javascript","11210"
"2012-06-01 00:00:00","perl","739"
"2012-06-01 00:00:00","php","10527"
"2012-06-01 00:00:00","python","5265"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","ruby","1885"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2365"
"2012-07-01 00:00:00","c#","12298"
"2012-07-01 00:00:00","c++","5261"
"2012-07-01 00:00:00","delphi","439"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12227"
"2012-07-01 00:00:00","javascript","12301"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11695"
"2012-07-01 00:00:00","python","5717"
"2012-07-01 00:00:00","r","1117"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2313"
"2012-08-01 00:00:00","c#","11931"
"2012-08-01 00:00:00","c++","5158"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12233"
"2012-08-01 00:00:00","javascript","12420"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11862"
"2012-08-01 00:00:00","python","5858"
"2012-08-01 00:00:00","r","1088"
"2012-08-01 00:00:00","ruby","2057"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","222"
"2012-09-01 00:00:00","c","2527"
"2012-09-01 00:00:00","c#","11256"
"2012-09-01 00:00:00","c++","4902"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11601"
"2012-09-01 00:00:00","javascript","11156"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10955"
"2012-09-01 00:00:00","python","5248"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3150"
"2012-10-01 00:00:00","c#","12705"
"2012-10-01 00:00:00","c++","5898"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13459"
"2012-10-01 00:00:00","javascript","12402"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11723"
"2012-10-01 00:00:00","python","6124"
